project,genome,file_accession,type,output_type,replicates,pipe
ENCSR130ZAR,GRCh38,ENCFF296WYX,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR130ZAR,GRCh38,ENCFF654IPZ,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR130ZAR,GRCh38,ENCFF340UBZ,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR993LMB,GRCh38,ENCFF398TIE,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR993LMB,GRCh38,ENCFF963PTA,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR993LMB,GRCh38,ENCFF165ZIY,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR993LMB,GRCh38,ENCFF661WFA,bed narrowPeak,optimal IDR thresholded peaks,"1, 2",ENCODE3
ENCSR530ARJ,GRCh38,ENCFF446YWQ,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR530ARJ,GRCh38,ENCFF962KEA,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR530ARJ,GRCh38,ENCFF792MOU,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR711XNY,GRCh38,ENCFF946JFA,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR711XNY,GRCh38,ENCFF500HYM,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR711XNY,GRCh38,ENCFF511QGY,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR711XNY,GRCh38,ENCFF335ADU,bed narrowPeak,optimal IDR thresholded peaks,"1, 2",ENCODE3
ENCSR091IQZ,GRCh38,ENCFF359ZQQ,bed narrowPeak,IDR thresholded peaks,"3, 4",ENCODE4
ENCSR091IQZ,GRCh38,ENCFF009YWW,bed narrowPeak,IDR thresholded peaks,3,ENCODE4
ENCSR091IQZ,GRCh38,ENCFF502TKI,bed narrowPeak,IDR thresholded peaks,4,ENCODE4
ENCSR661IKO,GRCh38,ENCFF503IOR,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR661IKO,GRCh38,ENCFF568VXM,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR661IKO,GRCh38,ENCFF223KT,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR555DCF,GRCh38,ENCFF760TRJ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR555DCF,GRCh38,ENCFF435IOV,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR555DCF,GRCh38,ENCFF980LUK,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR555DCF,GRCh38,ENCFF209TEF,bed narrowPeak,optimal IDR thresholded peaks,"1, 2",ENCODE3
ENCSR465XQW,GRCh38,ENCFF246ZMG,bed narrowPeak,optimal IDR thresholded peaks,"1, 2",ENCODE3
ENCSR465XQW,GRCh38,ENCFF197CVM,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR465XQW,GRCh38,ENCFF279RS,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR465XQW,GRCh38,ENCFF490URV,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR604WXQ,GRCh38,ENCFF283FBB,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR604WXQ,GRCh38,ENCFF024IQG,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR604WXQ,GRCh38,ENCFF561NXW,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR170DNV,GRCh38,ENCFF894XVP,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR170DNV,GRCh38,ENCFF627QGT,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR170DNV,GRCh38,ENCFF572SJB,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR170DNV,GRCh38,ENCFF882RPA,bed narrowPeak,optimal IDR thresholded peaks,"1, 2",ENCODE3
ENCSR497IAS,GRCh38,ENCFF029DNH,bed narrowPeak,optimal IDR thresholded peaks,"1, 2",ENCODE3
ENCSR497IAS,GRCh38,ENCFF591RCB,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR497IAS,GRCh38,ENCFF267ZHL,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR497IAS,GRCh38,ENCFF297ABT,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR792IYC,GRCh38,ENCFF941SRW,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR792IYC,GRCh38,ENCFF851WSW,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR792IYC,GRCh38,ENCFF263CAT,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR792IYC,GRCh38,ENCFF094XPM,bed narrowPeak,optimal IDR thresholded peaks,"1, 2",ENCODE3
ENCSR185QFX,GRCh38,ENCFF237SGW,bed narrowPeak,optimal IDR thresholded peaks,"2, 3",ENCODE3
ENCSR185QFX,GRCh38,ENCFF389COE,bed narrowPeak,IDR thresholded peaks,"2, 3",ENCODE4
ENCSR185QFX,GRCh38,ENCFF340XQ,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
